from,to,date_from,date_to,place_from,y_from,x_from,place_to,x_to,y_to
Hen. Nevill,"Sir Robert Cecil, Earl of Salisbury",15990615,15990615,NA,NA,NA,Greenwich,-0,51.48
Odet de Selve,The Admiral,15470120,15470120,London,51.5155,0.0922,NA,NA,NA
Charles de Lanoy,Cardinal Thomas Wolsey,15250608,15250608,Genoa,44.41111111,8.932777778,Westminster,-0.1333,51.4995
Deputies of Hamburg,"Sir Robert Cecil, Earl of Salisbury",15990608,15990608,NA,NA,NA,Greenwich,-0,51.48
Robert Mawe,Sir William Hollis,15360507,15360507,Calais,50.94805556,1.856388889,NA,NA,NA
Lord Thomas Fitzmaurice of Kerry,Sir Henry Sidney,15760901,15760901,Lixnaw,52.402,-9.616,NA,NA,NA
"Sir Thomas Radcliffe, earl of Sussex",Queen Mary I,15570404,15570404,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"Jean de la Fin, Seigneur de Beauvoir la Nocle","Sir Robert Cecil, Earl of Salisbury",15950203,15950203,London,51.5155,0.0922,Greenwich,-0,51.48
Gambaro Craso,Murad III,15930123,15931231,Antwerp,51.21666667,4.4,NA,NA,NA
"William, Bishop of Norwich","Sir Robert Cecil, Earl of Salisbury",15960202,15960202,Norwich,52.6,1.3,Greenwich,-0,51.48
Onorie ny Vic Brieane,"Sir William Cecil, Lord Burghley",15871107,15871110,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Commissioners of Musters for Buckinghamshire,Sir Christopher Hatton,15810201,15810228,NA,NA,NA,NA,NA,NA
Queen Elizabeth I,Sir Henry Wallop,15821117,15821117,Windsor Castle,51.48333333,-0.604166667,Dublin,-6.259722222,53.34777778
Viscount Hereford,Sir Francis Walsingham,15750928,15750928,Drogheda,53.71388889,-6.350277778,Paris,2.3508,48.8567
Oudart du Bies,"Arthur Plantagenet, Lord Lisle",15380301,15380301,Boulogne,50.7264,1.6147,Calais,1.856388889,50.94805556
Henry VIII,Pope Clement VII,15310912,15310912,Ampthill,52.0263,-0.4906,Rome,12.5,41.9
"John Maitland, Lord Maitland of Thirlestane",Sir Francis Walsingham,15860516,15860516,Holyrood House,55.9525,-3.1725,Paris,2.3508,48.8567
Sir Henry Wallop,"Sir William Cecil, Lord Burghley",15830828,15830828,Dublin,53.34777778,-6.259722222,Court of St. James,-0.1375,51.50472222
Commissioners of Musters for Buckinghamshire,"Robert Dudley, Earl of Leicester",15810201,15810228,NA,NA,NA,Flushing,3.566666667,51.45
Anthony Cave,John Johnson,15471015,15471015,Tickford,52.0866,-0.7222,NA,NA,NA
Ch&#x00E2;teaumartin,Sir Thomas Heneage,15900625,15900705,Bayonne,43.49,-1.48,NA,NA,NA
Privy Council,Sir Edward Carne,15451117,15451117,NA,NA,NA,Brussels,4.35,50.85
Arthur Capell,"Sir Robert Cecil, Earl of Salisbury",15990812,15990812,NA,NA,NA,Greenwich,-0,51.48
Rowland Argall,Sir Francis Walsingham,15840415,15840415,Dublin,53.34777778,-6.259722222,Paris,2.3508,48.8567
Queen Mary I,Privy Council,15531001,15531031,NA,NA,NA,Greenwich,-0,51.48
Queen Elizabeth I,Edward Stafford,15870115,15870119,NA,NA,NA,Paris,2.3508,48.8567
"Henry Howard, Earl of Northampton","Robert Devereux, Earl of Essex",15980901,15980930,NA,NA,NA,Cambridge,0.119,52.205
Michael Throckmorton (Throgmorton),"Edward Courtenay, Earl of Devon",15560317,15560317,NA,NA,NA,NA,NA,NA
Nicholas Wotton,"William Paget, Lord Paget",15450722,15450722,Worms,49.63194444,8.365277778,Windsor,-0.6095,51.4791
Mayor of Boulogne,"Robert Devereux, Earl of Essex",15980802,15980812,NA,NA,NA,Cambridge,0.119,52.205
Mayor of Norwich,"Thomas Cromwell, Earl of Essex",15390408,15390408,NA,NA,NA,Hampton Court,-0.3375,51.40333333
Council of Ireland,Queen Elizabeth I,15740912,15740912,Limerick,52.6653,-8.6238,Greenwich,-0,51.48
Joachim Gundelfinger,Privy Council,15520112,15520112,Dublin,53.34777778,-6.259722222,Greenwich,-0,51.48
Richard Johnson,John Johnson,15481205,15481205,Calais,50.94805556,1.856388889,NA,NA,NA
"George Talbot, 6th Earl of Shrewsbury","Sir William Cecil, Lord Burghley",15700914,15700914,Chatsworth,53.22,-1.61,Court of St. James,-0.1375,51.50472222
"John Bourchier, Lord Berners",Henry VIII,15320208,15320208,Calais,50.94805556,1.856388889,Greenwich,-0,51.48
"Sir William Cecil, Lord Burghley",Thomas Fanshawe,15830920,15830920,NA,NA,NA,NA,NA,NA
Queen Elizabeth I,"Charles IX, King of France",15620817,15620817,NA,NA,NA,Ploermel,-2.3961,47.9325
Wm. Alton,John Lee,15970704,15970704,Bristol,51.45,-2.583333333,NA,NA,NA
Colonel William Stewart,"Sir William Cecil, Lord Burghley",15901024,15901024,Edinburgh,55.95305556,-3.188888889,Court of St. James,-0.1375,51.50472222
Jacques de Segur-Pardaillan,"Sir William Cecil, Lord Burghley",15851022,15851022,Frankendal,NA,NA,Court of St. James,-0.1375,51.50472222
Sir Ralph Sadler,"Charles Brandon, Duke of Suffolk",15430906,15430906,Edinburgh,55.95305556,-3.188888889,Darlington,-1.5526,54.527
Senate of Venice,Andrea Badoer,15100715,15100715,Venice,45.4375,12.33583333,NA,NA,NA
Privy Council,"Sir William Cecil, Lord Burghley",15600208,15600208,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Henry VIII,"Robert Aldrich, Bishop of Carlisle",15410703,15410703,Manor of Envile,52.47794444,-2.259088889,NA,NA,NA
Sir Richard Morysine,Privy Council,15530324,15530324,NA,NA,NA,Greenwich,-0,51.48
Pope (Adrian VI.?),Ennius Bishop of Veroli,15220101,15221231,NA,NA,NA,NA,NA,NA
Lord Henry Scrope,"Sir William Cecil, Lord Burghley",15670121,15670121,Carlisle,54.891,-2.944,Court of St. James,-0.1375,51.50472222
"Henry Hastings, Earl of Huntingdon",Sir Francis Walsingham,15770727,15770727,York,53.95833333,-1.080277778,Paris,2.3508,48.8567
Thomas Brune,"Sir William Cecil, Lord Burghley",15720429,15720429,Antwerp,51.21666667,4.4,Court of St. James,-0.1375,51.50472222
Queen Elizabeth I,Christopher Mont (Mundt),15591225,15591225,NA,NA,NA,Worms,8.365277778,49.63194444
"Thomas Manners, Earl of Rutland",Privy Council,15420902,15420902,Alnwick,55.4134,-1.7069,Greenwich,-0,51.48
Thomas Randolph,"Henry Carey, Lord Hunsdon",15720417,15720417,Leith,55.98008889,-3.170047222,Berwick,-2.007,55.771
Mary Queen Regent of Flanders,Eustace Chapuys,15430329,15430329,NA,NA,NA,Boulogne,1.6147,50.7264
Sir Walter Mildmay,Thomas Fanshawe,15740629,15740629,NA,NA,NA,NA,NA,NA
William Fowler,Sir Francis Walsingham,15830101,15830131,London,51.5155,0.0922,Paris,2.3508,48.8567
William Abbot of Kyngeswodd,"Thomas Cromwell, Earl of Essex",15350909,15350909,Kingeswodde,51.62638889,-2.366666667,Hampton Court,-0.3375,51.40333333
"Thomas Thirlby, Bishop of Westminster and Ely",Sir John Boxall,15580930,15580930,NA,NA,NA,NA,NA,NA
Sir Richard Wingfield,Cardinal Thomas Wolsey,15150403,15150403,Paris,48.8567,2.3508,Westminster,-0.1333,51.4995
Geoffry Duckett,Company of Muscovy Merchants,15680812,15680812,Narva,59.37583333,28.19611111,NA,NA,NA
John Plunket,"Conor O'Brien, Earl of Thomond",15640702,15640702,Dublin,53.34777778,-6.259722222,NA,NA,NA
Adrian de Croy,Sir John Wallop,15430402,15430402,Saint Omer,50.7461,2.2617,Guisnes,1.8744,50.8686
John Case,"Sir William Cecil, Lord Burghley",15710306,15710306,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"Thomas Howard,2nd Duke of Norfolk",Thos. Atclif,15231017,15231017,Newcastle-upon-Tyne,54.97222222,-1.608333333,NA,NA,NA
"James Stewart, Earl of Arran",Bailiffs of Edinburgh,15820920,15820920,Dunkeld,56.56434167,-3.584886111,NA,NA,NA
Count Edzard of East Friesland,Dietrich Sonoy,15860411,15860411,Aurich,53.47138889,7.483611111,Medemblik,5.033333333,52.68333333
High Commissioners,"Thomas Wriothesley, Earl of Southampton",15380211,15380211,Dublin,53.34777778,-6.259722222,London,0.0922,51.5155
Queen Elizabeth I,Sir Francis Walsingham,15700815,15700815,NA,NA,NA,Paris,2.3508,48.8567
Sir Francis Walsingham,"Sir William Cecil, Lord Burghley",15710708,15710708,Paris,48.8567,2.3508,Court of St. James,-0.1375,51.50472222
Sibbell Penne,"Thomas Cromwell, Earl of Essex",15390101,15391231,Hunsdon,51.79536111,0.056363889,Hampton Court,-0.3375,51.40333333
Sir Henry Wallop,Sir Francis Walsingham,15810628,15810628,Dublin,53.34777778,-6.259722222,Paris,2.3508,48.8567
Sir Richard Morysine,"Thomas Cromwell, Earl of Essex",15360101,15361231,NA,NA,NA,Hampton Court,-0.3375,51.40333333
Sir Robert Gardener,Sir William Russell,15960120,15960120,Dundalk,54.009,-6.4049,Camp at Tullagh,-6.7369,52.8003
Robert Dow,"Sir William Cecil, Lord Burghley",15720823,15720823,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Robert Ardern,"Robert Dudley, Earl of Leicester",15880301,15880301,NA,NA,NA,Flushing,3.566666667,51.45
"James Hamilton, Earl of Arran, Duke of Chatelherault",King Philip II of Spain,15700701,15700731,NA,NA,NA,NA,NA,NA
"Henry Norris, Baron Norris","Sir William Cecil, Lord Burghley",15701017,15701017,Paris,48.8567,2.3508,Court of St. James,-0.1375,51.50472222
Sir Nicholas Throckmorton,Queen Elizabeth I,15610331,15610331,Paris,48.8567,2.3508,Greenwich,-0,51.48
Sir Robert Napper,"Sir William Cecil, Lord Burghley",15951026,15951026,Dublin,53.34777778,-6.259722222,Court of St. James,-0.1375,51.50472222
Adam Loftus,Privy Council,15980722,15980722,Dublin,53.34777778,-6.259722222,Greenwich,-0,51.48
Henry VIII,"Anne Brooke, Lady Cobham",15330428,15330428,Greenwich,51.48,-0,NA,NA,NA
John Vydgian,Katherine Vydgian,16021011,16021011,NA,NA,NA,NA,NA,NA
James V,"Holy Roman Emperor Charles V, (King Charles I of Spain)",15400302,15400302,Edinburgh,55.95305556,-3.188888889,Brussels,4.35,50.85
Dr Thomas Wilson,"Sir William Cecil, Lord Burghley",15760101,15761231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Sir Arthur Gorges,"Sir Robert Cecil, Earl of Salisbury",15930917,15930917,NA,NA,NA,Greenwich,-0,51.48
Thomas Bennett,"Sir William Cecil, Lord Burghley",15890101,15981231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"Silvestro de Gigli, Bishop of Worcester",Cardinal Thomas Wolsey,15140831,15140831,Rome,41.9,12.5,Westminster,-0.1333,51.4995
Queen Mary I,"Thomas Cromwell, Earl of Essex",15360530,15360530,Hunsdon,51.79536111,0.056363889,Hampton Court,-0.3375,51.40333333
John Rogers,Privy Council,15480501,15480531,Boulogne,50.7264,1.6147,Greenwich,-0,51.48
Guido Giannetti,Queen Elizabeth I,15660125,15660125,Padua,45.41666667,11.86666667,Greenwich,-0,51.48
William Stallenge,"Sir Robert Cecil, Earl of Salisbury",16000429,16000429,Plymouth,50.37138889,-4.142222222,Greenwich,-0,51.48
Francis Nedham,Nicholas Williamson,15910912,15910912,NA,NA,NA,Sawley,-1.297,52.876
"Henry III, King of France",Sieur de Poigny,15881013,15881023,NA,NA,NA,NA,NA,NA
Lord Cobham,Dr Thomas Wilson,15800415,15800415,Paris,48.8567,2.3508,NA,NA,NA
Robert Bowes,"Sir William Cecil, Lord Burghley",15800627,15800627,Berwick,55.771,-2.007,Court of St. James,-0.1375,51.50472222
"Thomas Howard, 4th Duke of Norfolk","Sir William Cecil, Lord Burghley",15590111,15590111,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Edward White (clerk of the council in Connaught),Sir Francis Walsingham,15790809,15790809,Limerick,52.6653,-8.6238,Paris,2.3508,48.8567
Queen Elizabeth I,"Henry IV, King of France",15930701,15930731,NA,NA,NA,Chartres,1.484,48.456
Sir Julius Caesar,Privy Council,15851111,15851111,London,51.5155,0.0922,Greenwich,-0,51.48
Cardinal Lorenzo Campeggio (Campeius),Cardinal Thomas Wolsey,15240121,15240121,Rome,41.9,12.5,Westminster,-0.1333,51.4995
Queen Elizabeth I,"James Douglas, Earl of Morton",15800622,15800622,NA,NA,NA,NA,NA,NA
Christopher Parkins,"Sir Robert Cecil, Earl of Salisbury",15960714,15960714,NA,NA,NA,Greenwich,-0,51.48
King Edward VI,Sir Thomas Chaloner (Challoner),0,0,NA,NA,NA,Madrid,-3.716666667,40.38333333
"Alice, Countess Dowager of Derby","Sir Robert Cecil, Earl of Salisbury",15940411,15940411,Manor of Lathom,53.5758,-2.817,Greenwich,-0,51.48
"Robert Sidney, Earl of Leicester","Robert Devereux, Earl of Essex",15960802,15960802,Flushing,51.45,3.566666667,Cambridge,0.119,52.205
Mr. William Cecill,"Sir William Cecil, Lord Burghley",15931117,15931117,Dublin,53.34777778,-6.259722222,Court of St. James,-0.1375,51.50472222
James Beaton,"Thomas Dacre, (2nd) Baron Dacre of Gilsland, (of the North)",15230625,15230625,The Quenes Fyrry,55.9875,-3.399997222,Morpeth,-1.678,55.163
King James VI,"Francis Stewart, Earl of Bothwell",15930816,15930816,Edinburgh,55.95305556,-3.188888889,NA,NA,NA
Desiderius Erasmus,John Fisher,15180423,15180423,Louvain,50.88333333,4.7,NA,NA,NA
Queen Mary I,Nicholas Brigham,15580512,15580512,NA,NA,NA,NA,NA,NA
Thomas Sutton,John Daniel,16000402,16000410,Charing Cross,51.5073,-0.12755,NA,NA,NA
"Mary, Queen of Scots",Queen Elizabeth I,15860312,15860312,Tutbury,52.854,-1.686,Greenwich,-0,51.48
Sir Francis Walsingham,"Edward Wotton, Lord Wotton of Marley",15850901,15850930,NA,NA,NA,NA,NA,NA
"Marino Grimani, Doge of Venice",Queen Elizabeth I,15960811,15960821,Venice,45.4375,12.33583333,Greenwich,-0,51.48
Serafino Heinodt,Thos. Wilson,16010421,16010501,Cologne,50.93638889,6.952777778,NA,NA,NA
John Mason,Sir William Petre,15540709,15540709,Brussels,50.85,4.35,Bourbourg,2.1986,50.9472
William Greenwich,"Sir Robert Cecil, Earl of Salisbury",16010101,16011231,NA,NA,NA,Greenwich,-0,51.48
Philip Parys,"Thomas Cromwell, Earl of Essex",15351122,15351122,Farnham,51.21,-0.8,Hampton Court,-0.3375,51.40333333
Estates General,Queen Elizabeth I,15960819,15960829,Hague,52.08333333,4.316666667,Greenwich,-0,51.48
Privy Council,"Sir William Cecil, Lord Burghley",15600402,15600402,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Sir Arthur Gorges,"Sir Robert Cecil, Earl of Salisbury",15961118,15961118,NA,NA,NA,Greenwich,-0,51.48
"Sir William Cecil, Lord Burghley",Thomas Fanshawe,15831204,15831204,NA,NA,NA,NA,NA,NA
John More,"Charles Howard, Baron Howard of Effingham, Earl of Nottingham",16020729,16020729,NA,NA,NA,NA,NA,NA
Edward Stafford,Sir Francis Walsingham,15831229,15831229,Paris,48.8567,2.3508,Paris,2.3508,48.8567
Daniel Rogers,Sir Francis Walsingham,15820101,15821231,NA,NA,NA,Paris,2.3508,48.8567
James Hudson,Sir Francis Walsingham,15890927,15890927,Edinburgh,55.95305556,-3.188888889,Paris,2.3508,48.8567
Ennius,Sir Francis Walsingham,15720727,15720727,NA,NA,NA,Paris,2.3508,48.8567
Geoffrey Fenton,"Sir Robert Cecil, Earl of Salisbury",15971105,15971105,Dublin,53.34777778,-6.259722222,Greenwich,-0,51.48
Jehan Van Oldenbarnevelt,Sir Noel de Caron,15980511,15980521,NA,NA,NA,Clapham,-0.14,51.46
"Ferdinand I, Holy Roman Emperor",Queen Elizabeth I,15590124,15590124,NA,NA,NA,Greenwich,-0,51.48
Privy Council,George Nicholson,16001105,16001105,Court at Richmond,51.46038889,-0.310219444,NA,NA,NA
Sir John Gilbert,Sir Francis Walsingham,15881107,15881107,Greenway,50.38333333,-3.583333333,Paris,2.3508,48.8567
Sir Thomas Chaloner (Challoner),Jane Dormer Duchess of Feria,15630619,15630619,Madrid,40.38333333,-3.716666667,Safra,-6.416666667,38.41666667
"Sir Thos. Parry, Treasurer of the Household","Sir William Cecil, Lord Burghley",15521016,15521016,Ashridge,51.7996,-0.5594,Court of St. James,-0.1375,51.50472222
"Matthew Hutton, Archbishop of York","Sir William Cecil, Lord Burghley",15910101,15911231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Capt. Arthur Chichester,"Sir Robert Cecil, Earl of Salisbury",16011020,16011020,Massereene,NA,NA,Greenwich,-0,51.48
Almoro Zane,Carlo Scaramelli,16030512,16030522,NA,NA,NA,NA,NA,NA
"William FitzWilliam, 1st Earl of Southampton","Thomas Cromwell, Earl of Essex",15361105,15361105,Windsor,51.4791,-0.6095,Hampton Court,-0.3375,51.40333333
William Frankelayn,"Thomas Cromwell, Earl of Essex",15370930,15370930,Standmere,51.617,-0.325,Hampton Court,-0.3375,51.40333333
Sir William Waad,Sir Walter Cope,16020908,16020908,NA,NA,NA,NA,NA,NA
Sir George Carey,Henry Cuffe,16000403,16000403,Dublin,53.34777778,-6.259722222,NA,NA,NA
Sir Richard Bingham,Sir William Russell,15960102,15960102,NA,NA,NA,Camp at Tullagh,-6.7369,52.8003
"Gerald Fitzgerald, earl of Desmond",Sir William Fitzwilliam,15731217,15731217,NA,NA,NA,Dublin Castle,-6.267427778,53.34288611
Robert Bowes,Queen Elizabeth I,15970622,15970622,Edinburgh,55.95305556,-3.188888889,Greenwich,-0,51.48
Justices of Gloucestershire,Privy Council,15860531,15860531,Sudeley Castle,51.94722222,-1.956111111,Greenwich,-0,51.48
Mr. Surveyor of Calais,"William Paulet, Marquess of Winchester",15650717,15650717,Berwick,55.771,-2.007,NA,NA,NA
Cardinal of Ravenna,"Holy Roman Emperor Charles V, (King Charles I of Spain)",15311220,15311220,Rome,41.9,12.5,Brussels,4.35,50.85
Deputy Governor of Ostend and others,"Sir William Cecil, Lord Burghley",15960428,15960428,Ostend,51.22444444,2.909722222,Court of St. James,-0.1375,51.50472222
Rev. Rich. Gibbon,Jane Dormer Duchess of Feria,16020607,16020617,Saint Omer,50.7461,2.2617,Safra,-6.416666667,38.41666667
Francis Knollys,"Sir William Cecil, Lord Burghley",15680904,15680904,Berwick,55.771,-2.007,Court of St. James,-0.1375,51.50472222
"James Sherlock, mayor of Waterford",Sir William Fitzwilliam,15740716,15740716,Waterford,52.25666667,-7.129166667,Dublin Castle,-6.267427778,53.34288611
Sir Thomas Bodley,"Sir William Cecil, Lord Burghley",15940624,15940624,Hague,52.08333333,4.316666667,Court of St. James,-0.1375,51.50472222
Queen Elizabeth I,Sir Richard Leveson,16020216,16020216,NA,NA,NA,NA,NA,NA
Robert Bowes,"Sir William Cecil, Lord Burghley",15801001,15801001,Edinburgh,55.95305556,-3.188888889,Court of St. James,-0.1375,51.50472222
Edward Grimstone,"Sir William Cecil, Lord Burghley",15910116,15910116,Auffay,49.7186,1.1011,Court of St. James,-0.1375,51.50472222
Hugh Hunteley,"Richard Rich, Baron Rich",15400204,15400204,Monmouth,51.81,-2.72,Windsor,-0.6095,51.4791
Francois Van der Delft,Mary Queen Regent of Flanders,15450426,15450426,London,51.5155,0.0922,NA,NA,NA
Lord Cobham,Sir Francis Walsingham,15830503,15830503,Paris,48.8567,2.3508,Paris,2.3508,48.8567
Bishop Tunstall,Cardinal Thomas Wolsey,15250410,15250410,Hampton,51.422,-0.367,Westminster,-0.1333,51.4995
Nathaniel Fuller,Queen Elizabeth I,15910101,16011231,NA,NA,NA,Greenwich,-0,51.48
Queen Elizabeth I,"George Talbot, 6th Earl of Shrewsbury",15860101,15871231,NA,NA,NA,Chatsworth,-1.61,53.22
Thomas Spring,"Sir William Cecil, Lord Burghley",15830627,15830627,Greenwich,51.48,-0,Court of St. James,-0.1375,51.50472222
Sir Thomas Smith,"Robert Dudley, Earl of Leicester",15660123,15660123,NA,NA,NA,Flushing,3.566666667,51.45
Andrea de Loo,"Sir William Cecil, Lord Burghley",15870715,15870715,Bruges,51.21666667,3.233333333,Court of St. James,-0.1375,51.50472222
Privy Council,Queen Elizabeth I,15591224,15591224,NA,NA,NA,Greenwich,-0,51.48
"Jean, Cardinal of Lorraine",Mary of Guise,15380101,15381231,NA,NA,NA,Edinburgh,-3.188888889,55.95305556
"William FitzWilliam, 1st Earl of Southampton",Henry VIII,15220829,15220829,Calais,50.94805556,1.856388889,Greenwich,-0,51.48
Queen Elizabeth I,Lord General Sir John Norreys,15940812,15940813,NA,NA,NA,Camp at Crozon fort,-4.4875,48.24583333
Edward Barton,Sir Thomas Heneage,15950727,15950727,Constantinople,41.01361111,28.955,NA,NA,NA
Sir Hugh Paulet,Privy Council,15470311,15470311,Boulogne,50.7264,1.6147,Greenwich,-0,51.48
Cardinal Thomas Wolsey,Sir John Daunce,15140101,15141231,NA,NA,NA,London,0.0922,51.5155
"John Best, Bishop of Carlisle",Lord Henry Scrope,15690101,15691231,NA,NA,NA,Carlisle,-2.944,54.891
Cardinal Thomas Wolsey,Sir Richard Jerningham,15180129,15180129,Westminster,51.4995,-0.1333,Logrono,-2.445555556,42.465
Queen Elizabeth I,Nicolas Bacon Lorde,15700101,15701231,NA,NA,NA,NA,NA,NA
John Grygge,Henry VIII,15180615,15180615,Rome,41.9,12.5,Greenwich,-0,51.48
"John Dudley, Duke of Northumberland","Charles Brandon, Duke of Suffolk",15430207,15430207,Alnwick,55.4134,-1.7069,Darlington,-1.5526,54.527
Sir Robert Gardener,"Sir William Cecil, Lord Burghley",15971204,15971204,Dublin,53.34777778,-6.259722222,Court of St. James,-0.1375,51.50472222
Theodoric Weier,"Sir William Cecil, Lord Burghley",15820101,15821231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Sir Barnaby Fitzpatrick,Sir Francis Walsingham,15790523,15790523,Dublin,53.34777778,-6.259722222,Paris,2.3508,48.8567
Sir Horatio Palavicino,Sir Francis Walsingham,15870212,15870212,NA,NA,NA,Paris,2.3508,48.8567
Estates General,Queen Elizabeth I,15921121,15921201,Hague,52.08333333,4.316666667,Greenwich,-0,51.48
Sir Edward Carne,"Thomas Cromwell, Earl of Essex",15331028,15331028,Paris,48.8567,2.3508,Hampton Court,-0.3375,51.40333333
Queen Mary I,"Thomas Cromwell, Earl of Essex",15380827,15380827,Portgore,51.6195,0.199,Hampton Court,-0.3375,51.40333333
John Knox,"Robert Dudley, Earl of Leicester",15631006,15631006,Edinburgh,55.95305556,-3.188888889,Flushing,3.566666667,51.45
Charles de Marillac,"Francis I, King of France",15401231,15401231,London,51.5155,0.0922,NA,NA,NA
Privy Council,"William Paget, Lord Paget",15430129,15430129,NA,NA,NA,Windsor,-0.6095,51.4791
Sir William Penizon,"Thomas Cromwell, Earl of Essex",15380830,15380830,Gravesend,51.4415,0.3685,Hampton Court,-0.3375,51.40333333
"Henry Bourchier, Earl of Essex","Thomas Cromwell, Earl of Essex",15350218,15350218,Stansted,51.898,0.198,Hampton Court,-0.3375,51.40333333
Henry Ughtred,"Francis Russell, Earl of Bedford",15830619,15830619,NA,NA,NA,Berwick,-2.007,55.771
Privy Council,Sir Thomas Chamberlain,15521123,15521123,NA,NA,NA,Weasett upon the Mase,5.7,50.73333333
Sir William Drury,Sir Francis Walsingham,15790114,15790114,Trim,53.55224167,-6.793413889,Paris,2.3508,48.8567
"Colin Campbell, 6th Earl of_Argyll","Patrick Gray, Lord Gray",15780802,15780802,Edinburgh,55.95305556,-3.188888889,NA,NA,NA
Anthony Pykeryng,"Arthur Plantagenet, Lord Lisle",15360117,15360117,London,51.5155,0.0922,Calais,1.856388889,50.94805556
George Harvy,Privy Council,16020227,16020227,The Tower,51.50805556,-0.076111111,Greenwich,-0,51.48
"Fellows of St. John's, Cambridge","Sir William Cecil, Lord Burghley",15950101,15951231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Sir Francis Cherry,"Sir Robert Cecil, Earl of Salisbury",15951120,15951120,London,51.5155,0.0922,Greenwich,-0,51.48
"Robert Radcliffe, Earl of Sussex","Sir Robert Cecil, Earl of Salisbury",15940908,15940908,Edinburgh,55.95305556,-3.188888889,Greenwich,-0,51.48
Thomas Bothe,Anthony Bourchier,15451111,15471111,NA,NA,NA,NA,NA,NA
